base,source,slab_decision,slab_atelier_definitions,slab_vanilla_ids,stairs_decision,stairs_atelier_definitions,stairs_vanilla_ids,vertical_slab_decision,vertical_slab_atelier_definitions,vertical_slab_vanilla_ids,wall_decision,wall_atelier_definitions,wall_vanilla_ids,notes
smooth_blackstone,dorios_atelier:smooth_blackstone,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_calcite,dorios_atelier:smooth_calcite,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_diorite,dorios_atelier:smooth_diorite,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_dripstone,dorios_atelier:smooth_dripstone,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_granite,dorios_atelier:smooth_granite,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_quartz,minecraft:smooth_quartz,use_vanilla,0,minecraft:smooth_quartz_slab,use_vanilla,0,minecraft:smooth_quartz_stairs,generate,1,,skip,0,,
smooth_stone,minecraft:smooth_stone,use_vanilla,0,minecraft:smooth_stone_slab,generate,1,,generate,1,,skip,0,,
smooth_tuff,dorios_atelier:smooth_tuff,generate,1,,generate,1,,generate,1,,generate,1,,
stone,minecraft:stone,use_vanilla,0,minecraft:normal_stone_slab,use_vanilla,0,minecraft:normal_stone_stairs;minecraft:stone_stairs,generate,1,,skip,0,,
stone_bricks,minecraft:stone_bricks,use_vanilla,0,minecraft:stone_brick_slab,use_vanilla,0,minecraft:stone_brick_stairs,generate,1,,skip,0,minecraft:stone_brick_wall,
tuff,minecraft:tuff,use_vanilla,0,minecraft:tuff_slab,use_vanilla,0,minecraft:tuff_stairs,generate,1,,skip,0,minecraft:tuff_wall,
tuff_bricks,minecraft:tuff_bricks,use_vanilla,0,minecraft:tuff_brick_slab,use_vanilla,0,minecraft:tuff_brick_stairs,generate,1,,skip,0,minecraft:tuff_brick_wall,
tuff_tiles,dorios_atelier:tuff_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
